region,per capita,formal wage,child mortality,disabled,alco (2018),drug (2018),grp,living area,bad conditions,no funds,illness (2016),anomalies (2016),psychosis (2016),pregnancy (2016),newborn,population,poverty %,children,retired,employable,children %,retired %,regional production,retail,living wage
Алтайский край,23864.0,30072.0,97.0,173935.0,88.1,17.4,291156.9,18.0,0.3,0.8642000000000001,112764.7,200.1,1272.1,3.3,19976,2317153.0,17.5,31.4,9.2,59.4,21.153070168435146,26.8,367883.9292183123,153605,10904.0
Амурская область,35499.0,52430.0,42.0,64692.0,113.3,24.4,571362.1,17.3,1.3,1.0731000000000002,83412.0,370.1,446.7,4.4,7853,790044.0,15.2,38.4,4.7,56.9,22.619246522978468,22.4,512093.58845836436,245233,14331.0
Архангельская область без Ненецкого АО,34852.0,52779.0,29.0,85552.0,64.7,9.2,514200.4,16.9,1.4,1.2998,99842.1,458.9,685.3,13.8,8906,1092424.0,12.3,28.5,7.2,64.3,20.708809033854987,26.4,607920.5473698856,250033,14507.0
Астраханская область,25199.0,38885.0,64.0,43609.0,22.2,0.2,526950.9,19.2,0.8,2.9027999999999996,64679.9,415.1,624.5,0.0,10911,1005782.0,15.6,42.1,5.5,52.4,22.620408796339564,23.9,720432.2167229082,174527,11287.0
Белгородская область,32841.0,37442.0,47.0,199929.0,41.3,3.2,646569.0,17.8,0.7,0.384,74637.4,136.2,388.2,0.0,12352,1549151.0,7.2,,,,18.764729842345904,27.2,1257652.623030292,237076,10403.0
Брянская область,28596.0,31946.0,41.0,106207.0,82.2,6.1,347204.5,24.1,0.1,0.0,77439.0,192.1,411.3,0.0,9480,1192491.0,13.6,44.8,3.7,51.6,18.96869661909398,27.5,475411.95715523226,225643,11760.0
Владимирская область,25922.0,35240.0,61.0,123256.0,66.5,7.8,410443.6,16.1,0.2,0.15300000000000002,94163.6,210.4,572.7,22.5,10120,1358416.0,12.5,,,,18.484617377887187,28.8,855888.0313099964,177680,11800.0
Волгоградская область,24864.0,35962.0,97.0,173155.0,55.6,7.7,394256.5,17.9,1.0,0.3993,64210.5,122.5,505.7,0.0,19663,2491036.0,11.9,46.2,4.0,49.8,19.11967550850329,27.0,726017.9741360623,167446,10604.0
Вологодская область,29522.0,42775.0,59.0,94470.0,50.1,6.1,544379.2,16.9,1.1,0.7072,91608.4,199.4,524.6,3.3,10698,1160445.0,12.8,43.1,2.3,54.6,21.50950712873079,26.0,1339891.4705134667,182920,12438.0
Воронежская область,32078.0,36317.0,70.0,216751.0,73.4,22.5,459629.5,19.9,0.9,0.5680000000000001,55009.9,98.4,583.5,4.2,19161,2324205.0,8.5,28.5,2.3,69.2,17.64319412444255,28.3,618075.2088563617,252416,9834.0
Еврейская автономная область,28048.0,46237.0,11.0,12625.0,87,65.4,400340.5,13.8,0.9,0.0,70367.2,656.2,635.7,20.5,1605,158305.0,23.6,34.8,10.8,54.4,23.202678374024828,22.5,353361.00944379525,168066,16336.0
Забайкальский край,27046.0,47172.0,64.0,77606.0,77.7,9.6,402594.6,17.1,1.8,1.5903,65922.4,237.5,482.7,21.1,12484,1059700.0,20.9,33.4,7.2,59.3,25.216476361234314,20.0,452082.05680853076,164741,13518.0
Ивановская область,26277.0,29083.0,28.0,77557.0,78.5,5.7,273821.5,18.1,1.5,0.5360000000000001,88473.5,270.4,516.2,0.0,7563,997135.0,13.7,,,,18.36922783775517,28.3,440835.21609410964,180314,11535.0
Иркутская область,27571.0,49885.0,167.0,208744.0,81.7,15.7,631591.9,16.3,1.6,1.9608,99980.3,242.2,567.7,6.0,27137,2391193.0,17.6,41.5,7.0,51.5,24.234597541896452,22.2,1018671.8788487588,164879,12745.0
Кабардино-Балкарская Республика,21957.0,29899.0,57.0,57266.0,51.6,10,210674.1,18.9,0.5,0.0,44792.0,150.2,224.4,8.2,10604,868350.0,24.2,35.9,6.7,57.4,23.818851845454024,20.2,115403.30530316116,154476,11819.0
Калининградская область,29518.0,36647.0,35.0,68487.0,79.1,4.2,530036.9,15.6,1.9,0.0,82758.6,388.8,360.7,0.0,9286,1012512.0,13.5,29.1,6.1,64.8,19.70682816598717,24.8,1287553.9028278184,183286,12943.0
Калужская область,32442.0,43994.0,28.0,76814.0,58.1,6,558174.6,15.5,0.2,0.0,75548.6,149.3,468.4,0.0,8989,1002575.0,9.7,,,,18.70154352542204,27.7,1843432.0502705532,214672,11518.0
Камчатский край,55373.0,85623.0,14.0,13512.0,63.1,9.2,942802.0,15.9,3.0,4.466,77458.3,229.0,513.7,0.0,3240,313016.0,14.6,42.6,5.9,51.5,20.95420042425946,20.1,1142524.7217394637,202352,22535.0
Карачаево-Черкесская Республика,18949.0,29865.0,25.0,51477.0,21.7,5.4,207471.5,18.3,2.6,1.9828999999999999,63347.1,86.1,236.4,0.0,5118,465528.0,23.2,27.6,6.9,65.5,22.662868828512998,22.0,174293.99950164114,83515,10926.0
Кемеровская область,25433.0,43429.0,129.0,218396.0,39.7,11.8,392374.9,16.3,1.0,0.5085000000000001,86241.9,409.9,564.9,7.0,22545,2657854.0,13.2,39.7,4.5,55.8,21.669098453112927,25.2,1140624.5289696124,153033,11023.0
Кировская область,24192.0,32692.0,40.0,121278.0,56.4,4.1,315153.9,14.9,2.5,0.9234000000000001,74475.5,107.2,446.1,10.2,10619,1262402.0,14.0,40.8,3.4,55.7,20.11958155959829,28.9,484981.7087742256,163224,11441.0
Костромская область,25780.0,32220.0,42.0,58746.0,61.1,8.9,323951.6,14.5,1.5,0.0,71386.8,134.9,446.5,18.9,5402,633385.0,12.5,39.9,6.6,53.5,20.476013798874302,27.7,551233.7886119816,179587,11993.0
Краснодарский край,36838.0,38499.0,230.0,431051.0,18.3,3.9,460720.2,18.1,1.2,0.7852,67335.5,147.5,277.7,5.9,59235,5675462.0,10.4,39.3,6.9,53.8,20.891338890120313,25.5,383176.5223095494,261857,12191.0
Красноярский край,32832.0,54426.0,153.0,181468.0,69.1,14.9,951613.7,16.6,1.8,1.2567,78434.8,165.5,565.5,5.5,28985,2866255.0,17.0,35.8,4.8,59.4,22.09028854725068,22.5,1794098.1197834804,196888,13839.0
Курганская область,21860.0,33182.0,46.0,72664.0,77.8,22.5,294464.0,16.7,3.2,0.1305,96602.5,288.1,835.3,4.6,7429,827166.0,19.3,39.4,2.4,58.2,21.510918001948824,28.8,361819.7023572053,147332,11204.0
Курская область,29786.0,35805.0,42.0,119153.0,51.3,5.2,487030.7,17.1,0.6,0.7636000000000001,54094.0,139.5,398.4,0.0,9111,1104008.0,9.9,34.2,6.5,59.2,18.719520148404722,28.3,686291.1708973123,207134,10748.0
Ленинградская область,33149.0,48286.0,52.0,134703.0,35.3,8.6,661328.6,17.0,3.0,3.8308,66653.9,123.9,457.1,5.2,13267,1875872.0,8.7,,,,17.339402688456353,26.8,1383181.2562904079,255646,12231.0
Липецкая область,32226.0,36790.0,35.0,115828.0,68.6,5.7,546151.3,16.5,0.2,0.6077,66621.8,60.0,468.1,3.8,9389,1139371.0,8.4,40.0,0.8,59.3,19.064466271302326,28.1,1367916.2060470206,236552,10627.0
Магаданская область,70864.0,102843.0,4.0,5001.0,127,6.2,2035007.0,13.8,0.2,0.0,67012.9,202.9,444.8,0.0,1314,140149.0,8.7,,,,20.99979307736766,21.2,3821294.461894127,245817,22027.0
Москва,77283.0,100070.0,450.0,1009535.0,23.1,8.7,1567644.8,13.8,0.5,4.096,64633.3,150.2,276.2,0.0,123524,12678079.0,6.0,38.4,13.2,48.5,17.08819609027519,26.9,1543010.9280751445,408674,20260.0
Московская область,47046.0,58066.0,246.0,418709.0,37.7,11,683845.1,14.8,1.0,0.9569999999999999,70054.0,90.1,423.5,3.8,79107,7690863.0,6.8,49.9,5.7,44.4,19.813056090064272,23.9,916250.2792625483,347566,14586.0
Мурманская область,46355.0,69135.0,25.0,28499.0,48.3,6.2,1072337.1,17.7,2.4,1.8483,87319.0,72.3,449.0,20.4,6481,741404.0,10.1,43.7,0.4,55.8,20.80727916223813,21.7,2722153.0663174195,242844,18438.0
Ненецкий автономный округ,84147.0,92237.0,4.0,2935.0,181.8,2.3,5206287.1,20.9,5.9,0.0,138231.7,853.1,903.3,0.0,594,44111.0,9.4,,,,27.165559610981386,18.5,11922452.714742355,226206,22971.0
Нижегородская область,33645.0,37601.0,128.0,285434.0,44.4,7,497418.6,17.5,0.5,0.16720000000000002,91127.3,412.4,330.7,4.2,27648,3202946.0,9.4,31.7,3.8,64.5,18.951084407916962,27.4,937124.1100162163,237008,11228.0
Новгородская область,26268.0,34169.0,20.0,56679.0,55.2,9.4,471333.3,17.6,0.4,0.0,88536.3,133.0,408.0,14.0,4886,596508.0,13.6,40.1,1.3,58.6,19.735359794001088,29.1,779095.5266316629,204547,12346.0
Новосибирская область,31563.0,41534.0,164.0,183298.0,33.8,20.6,485981.4,16.3,1.8,1.3679999999999999,77378.7,125.8,339.4,3.1,28865,2798170.0,13.8,34.1,4.4,61.5,20.96198586933603,24.4,506052.5777704714,197028,12598.0
Омская область,27354.0,37828.0,105.0,125820.0,29.9,7.7,398641.0,16.9,0.8,0.27180000000000004,85381.7,256.1,394.1,10.5,17800,1926665.0,13.6,38.8,5.1,56.2,21.65327132635928,24.8,969920.1983842546,185769,10956.0
Оренбургская область,24719.0,35075.0,69.0,186888.0,93.6,3.7,538971.9,19.0,1.8,1.2730000000000001,79188.8,322.9,677.8,23.5,18780,1956835.0,14.0,42.8,3.3,53.9,22.295339157363806,24.9,900190.4653074992,169416,10438.0
Орловская область,26843.0,31862.0,33.0,60633.0,90.3,4.4,390170.2,18.8,1.4,0.0,94883.0,315.4,604.7,11.7,5735,733498.0,12.9,41.5,8.0,50.5,18.353151610502007,28.9,408869.29480380315,194977,11132.0
Пензенская область,24118.0,32766.0,43.0,95886.0,129.8,6.2,379820.4,16.9,0.2,0.0,73083.1,74.4,843.3,3.5,9663,1305563.0,13.0,32.7,12.8,54.5,17.756094497163293,29.4,449360.18146960356,171267,10396.0
Пермский край,30215.0,41958.0,119.0,200755.0,95.3,11.7,541930.2,16.0,1.5,2.3102999999999994,94982.5,526.2,661.2,46.4,25529,2599260.0,13.3,41.5,3.7,54.8,22.569269715226643,24.3,1153897.710409886,214162,11633.0
Приморский край,37304.0,50105.0,95.0,108526.0,64.1,35.5,582950.7,15.7,2.4,1.8796000000000004,72917.4,170.9,661.8,30.6,18060,1895868.0,13.0,49.6,4.2,46.2,19.863671943405343,24.1,362188.5623788154,230378,14872.0
Псковская область,26436.0,31496.0,20.0,47543.0,85.9,4.6,325659.6,15.0,0.1,0.0,70723.5,85.4,406.1,0.0,4995,626115.0,16.2,29.6,9.3,61.0,18.60552773851449,29.2,455903.4736430208,200916,12425.0
Республика Адыгея,30293.0,32161.0,14.0,33024.0,52.5,5.1,309184.1,19.6,3.5,0.0,66252.3,105.9,267.3,0.0,4418,463088.0,12.5,44.6,5.4,50.1,21.89324707183084,24.6,263505.6166430571,231447,10520.0
Республика Алтай,21677.0,36269.0,22.0,21311.0,71.1,9.2,283451.4,14.4,4.8,0.46759999999999985,89433.5,239.8,241.7,0.0,2955,220181.0,23.8,44.5,2.9,52.6,30.638429292264092,18.2,79131.84425540805,135351,11138.0
Республика Башкортостан,30249.0,38738.0,238.0,250002.0,56.4,6.4,425161.0,17.4,0.5,0.9912000000000001,84448.9,123.0,376.7,3.7,41180,4038151.0,11.6,40.1,4.5,55.4,22.592939194200515,23.8,764871.8703733466,226691,10477.0
Республика Бурятия,26092.0,41800.0,69.0,74897.0,48.9,3.4,307558.8,17.2,3.2,2.112,61456.1,80.3,235.3,3.3,12620,985937.0,19.9,41.7,3.7,54.6,26.98417850227753,19.7,357716.7791045472,199747,12803.0
Республика Дагестан,27661.0,31342.0,317.0,304003.0,13.6,9.1,239640.7,22.5,0.8,1.2,80693.8,192.0,297.8,0.0,46506,3110858.0,14.8,38.3,5.0,56.7,28.38560937207677,13.9,43455.643298408344,188325,10775.0
Республика Ингушетия,16877.0,29648.0,47.0,57520.0,0.2,2.7,142199.7,27.8,0.0,0.0,60547.7,55.2,106.0,0.0,8463,507061.0,30.0,38.1,10.6,51.3,31.189541297792573,13.0,16871.75862470196,50713,10580.0
Республика Калмыкия,19811.0,32013.0,8.0,21371.0,58.1,0.7,344933.1,20.2,0.0,0.0,71872.7,103.7,354.8,0.0,2772,271135.0,22.7,33.8,0.3,65.9,24.01239235067402,22.3,41819.0897523374,86002,10914.0
Республика Карелия,32583.0,46501.0,23.0,60900.0,78.1,5.1,522245.3,17.1,3.4,4.6805,112365.5,442.3,691.2,31.8,5199,614064.0,15.1,39.0,3.0,58.1,20.51577685713541,26.8,799271.7489707913,226569,15438.0
Республика Коми,36677.0,57156.0,18.0,61858.0,107.5,10.7,749219.3,15.5,8.8,6.588600000000001,111709.0,298.9,639.0,42.1,7576,820473.0,15.3,40.1,6.6,53.3,22.480081611460704,22.5,1329030.0464000644,201675,15715.0
Республика Крым,22950.0,34181.0,102.0,124348.0,57.6,14.6,270363.8,19.0,0.7,0.22999999999999998,52086.6,164.8,286.7,0.0,18868,1912622.0,17.2,48.2,1.7,50.1,20.115631839432986,27.5,179171.73804337712,148071,11846.0
Республика Марий Эл,21264.0,32278.0,31.0,62219.0,73.7,2.9,290803.3,16.5,1.8,1.8518,93490.3,203.2,662.5,0.0,6642,679417.0,19.5,32.8,5.8,61.5,21.808550566147154,25.3,478229.06159251236,134692,10568.0
Республика Мордовия,20631.0,31105.0,17.0,68736.0,64.1,1.9,342811.2,20.0,0.1,0.0,65931.9,147.5,701.3,0.0,5558,790197.0,17.6,,,,16.8859157906193,27.6,638826.222068674,127327,10079.0
Республика Саха (Якутия),46338.0,77178.0,67.0,53206.0,129,3.1,1168152.5,16.5,5.2,1.9349999999999998,104555.1,237.3,484.6,30.9,12957,971996.0,17.3,44.2,5.1,50.7,27.175111831735933,16.9,1928404.7421594327,250679,18853.0
